id_a,id_b
A_prot00286,B_prot00286
A_prot00287,B_prot00287
A_prot00288,B_prot00288
A_prot00289,B_prot00289
A_prot00290,B_prot00290
A_prot00291,B_prot00291
A_prot00292,B_prot00292
A_prot00293,B_prot00293
A_prot00294,B_prot00294
A_prot00295,B_prot00295
A_prot00296,B_prot00296
A_prot00297,B_prot00297
A_prot00298,B_prot00298
A_prot00299,B_prot00299
A_prot00300,B_prot00300
A_prot00301,B_prot00301
A_prot00302,B_prot00302
A_prot00303,B_prot00303
A_prot00304,B_prot00304
A_prot00305,B_prot00305
A_prot00306,B_prot00306
A_prot00307,B_prot00307
A_prot00308,B_prot00308
A_prot00309,B_prot00309
A_prot00310,B_prot00310
A_prot00311,B_prot00311
A_prot00312,B_prot00312
A_prot00313,B_prot00313
A_prot00314,B_prot00314
A_prot00315,B_prot00315
A_prot00316,B_prot00316
A_prot00317,B_prot00317
A_prot00318,B_prot00318
A_prot00319,B_prot00319
A_prot00320,B_prot00320
A_prot00321,B_prot00321
A_prot00322,B_prot00322
A_prot00323,B_prot00323
A_prot00324,B_prot00324
A_prot00325,B_prot00325
A_prot00326,B_prot00326
A_prot00327,B_prot00327
A_prot00328,B_prot00328
A_prot00329,B_prot00329
A_prot00330,B_prot00330
A_prot00331,B_prot00331
A_prot00332,B_prot00332
A_prot00333,B_prot00333
A_prot00334,B_prot00334
A_prot00335,B_prot00335
A_prot00336,B_prot00336
A_prot00337,B_prot00337
A_prot00338,B_prot00338
A_prot00339,B_prot00339
A_prot00340,B_prot00340
A_prot00341,B_prot00341
A_prot00342,B_prot00342
A_prot00343,B_prot00343
A_prot00344,B_prot00344
A_prot00345,B_prot00345
A_prot00346,B_prot00346
A_prot00347,B_prot00347
A_prot00348,B_prot00348
A_prot00349,B_prot00349
A_prot00350,B_prot00350
A_prot00351,B_prot00351
A_prot00352,B_prot00352
A_prot00353,B_prot00353
A_prot00354,B_prot00354
A_prot00355,B_prot00355
A_prot00356,B_prot00356
A_prot00357,B_prot00357
A_prot00358,B_prot00358
A_prot00359,B_prot00359
A_prot00360,B_prot00360
A_prot00361,B_prot00361
A_prot00362,B_prot00362
A_prot00363,B_prot00363
A_prot00364,B_prot00364
A_prot00365,B_prot00365
A_prot00366,B_prot00366
A_prot00367,B_prot00367
A_prot00368,B_prot00368
A_prot00369,B_prot00369
A_prot00370,B_prot00370
A_prot00371,B_prot00371
A_prot00372,B_prot00372
A_prot00373,B_prot00373
A_prot00374,B_prot00374
A_prot00375,B_prot00375
A_prot00376,B_prot00376
A_prot00377,B_prot00377
A_prot00378,B_prot00378
A_prot00379,B_prot00379
A_prot00380,B_prot00380
A_prot00381,B_prot00381
A_prot00382,B_prot00382
A_prot00383,B_prot00383
A_prot00384,B_prot00384
A_prot00385,B_prot00385
A_prot00386,B_prot00386
A_prot00387,B_prot00387
A_prot00388,B_prot00388
A_prot00389,B_prot00389
A_prot00390,B_prot00390
A_prot00391,B_prot00391
A_prot00392,B_prot00392
A_prot00393,B_prot00393
A_prot00394,B_prot00394
A_prot00395,B_prot00395
A_prot00396,B_prot00396
A_prot00397,B_prot00397
A_prot00398,B_prot00398
A_prot00399,B_prot00399
A_prot00400,B_prot00400
A_prot00401,B_prot00401
A_prot00402,B_prot00402
A_prot00403,B_prot00403
A_prot00404,B_prot00404
A_prot00405,B_prot00405
A_prot00406,B_prot00406
A_prot00407,B_prot00407
A_prot00408,B_prot00408
A_prot00409,B_prot00409
A_prot00410,B_prot00410
A_prot00411,B_prot00411
A_prot00412,B_prot00412
A_prot00413,B_prot00413
A_prot00414,B_prot00414
A_prot00415,B_prot00415
A_prot00416,B_prot00416
A_prot00417,B_prot00417
A_prot00418,B_prot00418
A_prot00419,B_prot00419
A_prot00420,B_prot00420
A_prot00421,B_prot00421
A_prot00422,B_prot00422
A_prot00423,B_prot00423
A_prot00424,B_prot00424
A_prot00425,B_prot00425
A_prot00426,B_prot00426
A_prot00427,B_prot00427
A_prot00428,B_prot00428
A_prot00429,B_prot00429
A_prot00430,B_prot00430
A_prot00431,B_prot00431
A_prot00432,B_prot00432
A_prot00433,B_prot00433
A_prot00434,B_prot00434
A_prot00435,B_prot00435
A_prot00436,B_prot00436
A_prot00437,B_prot00437
A_prot00438,B_prot00438
A_prot00439,B_prot00439
A_prot00440,B_prot00440
A_prot00441,B_prot00441
A_prot00442,B_prot00442
A_prot00443,B_prot00443
A_prot00444,B_prot00444
A_prot00445,B_prot00445
A_prot00446,B_prot00446
A_prot00447,B_prot00447
A_prot00448,B_prot00448
A_prot00449,B_prot00449
A_prot00450,B_prot00450
A_prot00451,B_prot00451
A_prot00452,B_prot00452
A_prot00453,B_prot00453
A_prot00454,B_prot00454
A_prot00455,B_prot00455
A_prot00456,B_prot00456
A_prot00457,B_prot00457
A_prot00458,B_prot00458
A_prot00459,B_prot00459
A_prot00460,B_prot00460
A_prot00461,B_prot00461
A_prot00462,B_prot00462
A_prot00463,B_prot00463
A_prot00464,B_prot00464
A_prot00465,B_prot00465
A_prot00466,B_prot00466
A_prot00467,B_prot00467
A_prot00468,B_prot00468
A_prot00469,B_prot00469
A_prot00470,B_prot00470
A_prot00471,B_prot00471
A_prot00472,B_prot00472
A_prot00473,B_prot00473
A_prot00474,B_prot00474
A_prot00475,B_prot00475
A_prot00476,B_prot00476
A_prot00477,B_prot00477
A_prot00478,B_prot00478
A_prot00479,B_prot00479
A_prot00480,B_prot00480
A_prot00481,B_prot00481
A_prot00482,B_prot00482
A_prot00483,B_prot00483
A_prot00484,B_prot00484
A_prot00485,B_prot00485
A_prot00486,B_prot00486
A_prot00487,B_prot00487
A_prot00488,B_prot00488
A_prot00489,B_prot00489
A_prot00490,B_prot00490
A_prot00491,B_prot00491
A_prot00492,B_prot00492
A_prot00493,B_prot00493
A_prot00494,B_prot00494
A_prot00495,B_prot00495
A_prot00496,B_prot00496
A_prot00497,B_prot00497
A_prot00498,B_prot00498
A_prot00499,B_prot00499
A_prot00500,B_prot00500
A_prot00501,B_prot00501
A_prot00502,B_prot00502
A_prot00503,B_prot00503
A_prot00504,B_prot00504
A_prot00505,B_prot00505
A_prot00506,B_prot00506
A_prot00507,B_prot00507
A_prot00508,B_prot00508
A_prot00509,B_prot00509
A_prot00510,B_prot00510
A_prot00511,B_prot00511
A_prot00512,B_prot00512
A_prot00513,B_prot00513
A_prot00514,B_prot00514
A_prot00515,B_prot00515
A_prot00516,B_prot00516
A_prot00517,B_prot00517
A_prot00518,B_prot00518
A_prot00519,B_prot00519
A_prot00520,B_prot00520
A_prot00521,B_prot00521
A_prot00522,B_prot00522
A_prot00523,B_prot00523
A_prot00524,B_prot00524
A_prot00525,B_prot00525
A_prot00526,B_prot00526
A_prot00527,B_prot00527
A_prot00528,B_prot00528
A_prot00529,B_prot00529
A_prot00530,B_prot00530
A_prot00531,B_prot00531
A_prot00532,B_prot00532
A_prot00533,B_prot00533
A_prot00534,B_prot00534
A_prot00535,B_prot00535
A_prot00536,B_prot00536
A_prot00537,B_prot00537
A_prot00538,B_prot00538
A_prot00539,B_prot00539
A_prot00540,B_prot00540
A_prot00541,B_prot00541
A_prot00542,B_prot00542
A_prot00543,B_prot00543
A_prot00544,B_prot00544
A_prot00545,B_prot00545
A_prot00546,B_prot00546
A_prot00547,B_prot00547
A_prot00548,B_prot00548
A_prot00549,B_prot00549
A_prot00550,B_prot00550
A_prot00551,B_prot00551
A_prot00552,B_prot00552
A_prot00553,B_prot00553
A_prot00554,B_prot00554
A_prot00555,B_prot00555
A_prot00556,B_prot00556
A_prot00557,B_prot00557
A_prot00558,B_prot00558
A_prot00559,B_prot00559
A_prot00560,B_prot00560
A_prot00561,B_prot00561
A_prot00562,B_prot00562
A_prot00563,B_prot00563
A_prot00564,B_prot00564
A_prot00565,B_prot00565
A_prot00566,B_prot00566
A_prot00567,B_prot00567
A_prot00568,B_prot00568
A_prot00569,B_prot00569
A_prot00570,B_prot00570
A_prot00571,B_prot00571
A_prot00572,B_prot00572
A_prot00573,B_prot00573
A_prot00574,B_prot00574
A_prot00575,B_prot00575
A_prot00576,B_prot00576
A_prot00577,B_prot00577
A_prot00578,B_prot00578
A_prot00579,B_prot00579
A_prot00580,B_prot00580
A_prot00581,B_prot00581
A_prot00582,B_prot00582
A_prot00583,B_prot00583
A_prot00584,B_prot00584
A_prot00585,B_prot00585
A_prot00586,B_prot00586
A_prot00587,B_prot00587
A_prot00588,B_prot00588
A_prot00589,B_prot00589
A_prot00590,B_prot00590
A_prot00591,B_prot00591
A_prot00592,B_prot00592
A_prot00593,B_prot00593
A_prot00594,B_prot00594
A_prot00595,B_prot00595
A_prot00596,B_prot00596
A_prot00597,B_prot00597
A_prot00598,B_prot00598
A_prot00599,B_prot00599
